2016-08-22 09:55:20: -- Analysis Started by User
2016-08-22 09:55:27: Changes: 330, Conflicts: 0, CopyTime: 0, CopyState: 0/0, Errors: 0, All: 9024
2016-08-22 09:55:27: Left to Right: Copy File: 330 
2016-08-22 09:55:27: -- Analysis Complete. Time 00:00:07, Speed: 1239 files/s
2016-08-22 09:55:27: 
2016-08-22 09:55:28: == Sync Started by User
2016-08-22 09:55:28: Copy Over '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/COMMIT_EDITMSG' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/COMMIT_EDITMSG'
2016-08-22 09:55:28: Copy Over '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/config' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/config'
2016-08-22 09:55:28: Copy Over '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/FETCH_HEAD' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/FETCH_HEAD'
2016-08-22 09:55:28: Copy Over '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/index' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/index'
2016-08-22 09:55:28: Copy Over '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/logs/HEAD' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/logs/HEAD'
2016-08-22 09:55:28: Copy Over '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/logs/refs/heads/master' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/logs/refs/heads/master'
2016-08-22 09:55:28: Copy Over '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/logs/refs/remotes/vns-bodypaint/master' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/logs/refs/remotes/vns-bodypaint/master'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/00/12e899e2a85d8b77dc11370b4847c68a09dae0' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/00/12e899e2a85d8b77dc11370b4847c68a09dae0'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/01/758a0e2b0c9a42b0a14ccc6b514c34173c245d' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/01/758a0e2b0c9a42b0a14ccc6b514c34173c245d'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/03/b6bd058ea9514aa46dfdead008b7be1d1f66c2' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/03/b6bd058ea9514aa46dfdead008b7be1d1f66c2'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/04/1e8a574c94351d1e92167dce929721e3a50981' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/04/1e8a574c94351d1e92167dce929721e3a50981'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/04/f1c2676597b0b6da153d41911a97e7fbd08f19' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/04/f1c2676597b0b6da153d41911a97e7fbd08f19'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/05/6c16d1e76021e3cd0d00667cdad5e20adde6c6' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/05/6c16d1e76021e3cd0d00667cdad5e20adde6c6'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/05/8a55ec0bd11729ebe97626d26069e561a02082' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/05/8a55ec0bd11729ebe97626d26069e561a02082'
2016-08-22 09:55:28: Copy Over '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/05/8dca9939fa234b1b44d5c04e7017be2b9c9c07' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/05/8dca9939fa234b1b44d5c04e7017be2b9c9c07'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/09/479239bfa71cf1f4cb841068f2bb4a3d97c359' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/09/479239bfa71cf1f4cb841068f2bb4a3d97c359'
2016-08-22 09:55:28: Copy Over '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/0a/af51e72e68e858afa5efad33473e32b13d219c' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/0a/af51e72e68e858afa5efad33473e32b13d219c'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/0a/b55864c134889eceedb96a1230725b8e9c69f3' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/0a/b55864c134889eceedb96a1230725b8e9c69f3'
